hhld_id,premium,loss_amount,loss_ratio,future_clm_ind
2015,90,0,0,0
11557,133.6,0,0,0
5390,193.6,0,0,0
4317,133.6,0,0,0
767,90,0,0,0
3248,177.84,0,0,0
3087,133.6,0,0,0
5666,133.6,0,0,0
10134,105,0,0,0
16700,282.6,0,0,0
18296,193.6,0,0,0
1269,307.2,0,0,0
17419,322,0,0,0
2797,233.1,0,0,0
13773,247,0,0,0
2428,133.6,0,0,0
17479,94.5,0,0,0
14839,75.6,0,0,0
1255,90,0,0,0
14186,133.6,0,0,0
9866,100,0,0,0
1301,155,0,0,0
8482,120.24,0,0,0
18367,177.84,0,0,0
4182,150.3,1141.732766,7.596359057,1
5960,309,0,0,0
264,120.24,0,0,0
368,167,0,0,0
16609,167,0,0,0
7057,278.1,0,0,0
3206,334,0,0,0
17470,100,0,0,0
4825,100,0,0,0
7178,90,917.4946993,10.19438555,1
14027,167,0,0,0
10995,133.6,0,0,0
4160,94.5,0,0,0
6956,167,0,0,0
3705,111.6,0,0,0
4447,150.3,0,0,0
6720,322,1719.05338,5.338675092,1
11846,314,0,0,0
18540,120.24,0,0,0
14884,120.24,0,0,0
15748,177.84,0,0,0
17833,247,0,0,0
14935,384,0,0,0
8560,197.6,0,0,0
15678,167,0,0,0
16695,80,0,0,0
5654,226.08,0,0,0
18338,120.24,0,0,0
12051,247,0,0,0
6134,167,0,0,0
1509,120.24,0,0,0
9610,257.6,0,0,0
7785,167,0,0,0
9027,162,0,0,0
5692,167,0,0,0
18765,133.6,0,0,0
6167,222.3,0,0,0
1047,197.6,0,0,0
2633,247,0,0,0
18773,133.6,0,0,0
2887,133.6,0,0,0
15342,133.6,0,0,0
1474,150.3,0,0,0
16359,113.4,0,0,0
13839,120.24,0,0,0
8944,167,0,0,0
15123,167,0,0,0
15399,309,0,0,0
12207,247,0,0,0
10938,167,0,0,0
12131,111.6,0,0,0
7696,167,1317.220083,7.887545408,1
3319,167,0,0,0
12616,150.3,0,0,0
9608,105,0,0,0
1330,167,0,0,0
8297,167,0,0,0
606,120.24,0,0,0
6631,120.24,0,0,0
1857,345.6,0,0,0
